	pl	csb
3418	Można mieć dwa widoki - lub nawet więcej - tego samego dokumentu w Kate. Zmiany dokonane w jednym będą od razu widoczne w obu. Zatem zamiast przewijać tekst między fragmentami tekstu na dwóch końcach dokumentu, wystarczy podzielić Ctrl+Shift+T widok w poziomie.	Mòże miec dwa wëzdrzatczi - abò nawetka wicy - tegò sómegò dokùmentu w Kate. Zmianë wprowadzoné w jednym bãdze zarôw widzec w òbù. Dlôte w môlu przewijaniô tekstu midzë wëjimkama tekstu na dwóch kùńcach dokùmentu, sygnie rozpartérowac Ctrl+Shift+T wëzdrzatk w równi.
3419	Pakiety zagubione	Wielëna òpùszczonych paczétów
3420	Zgłoś wyjątki	Rapòrtëjë wëjimczi
3421	Zainstalowana pamięć	Zainstalowónô pamiãc
3422	Importuj zakładki & Netscape...	Impòrtëjë załóżczi z & Netscape...
3423	numer ścieżki	numer sztëczka
3424	Wyższe notowania	Wëższé & notowania
3425	Strony	Wszëtczé kategòrëje
3426	Wysyłanie faksu przy użyciu:% 1	Sélanié faksa brëkùjąc:% 1
3427	Poprzedni	Pòprzédny
3428	Obramowanie zaznaczeniaundo-type	undo-type
3429	UsuńQSql	RëmôjQSql
3430	Potwierdzenie cofnięcia kopiowania pliku	Zaktualnienié kònfigùracëji systemë
3431	Opcje montowania	Òptacëje mòntowaniô
3432	& Załóż grę...	& Założë grã
3433	Włączone (obrót wzdłuż długiej krawędzi)	Włączone (òbrócënk zdłużą dłëdżégò rańtu)
3434	Biblioteka% 1 nie jest wtyczką menedżera okien.	Bibloteka% 1 nie je wtëkôczã KWin.
3435	Czerwony (purpurowy i żółty)	Czerwòny (pùrpùrowi ë żôłti)
3436	Zmienione: @ label	Zjinaczoné@ title: group
3437	Azja/ Tbilisi	Azëjô/ Tbilisi
3438	Zmiany będą zatwierdzone w następnej grze.	Zmianë bãdą zacwierdzone w pòstãpny grze.
3439	Musisz podać opis błędu przed wysłaniem raportu.	Mùszisz pòdac òpis fele przed wësłaniém rapòrtu.
3440	& Ignoruj	& Przepùszczë
3441	Plik konfiguracyjny KColorScheme	Lopk kònfigùëacëji KColorScheme
3442	Próba usunięcia podanego katalogu,% 1, nie powiodła się.	Próba rëmniãcô żądónegò kataloga,% 1, nie darzëła sã.
3443	Informacja:% 1	Wëdowiédzô:% 1
3444	Brak pamięci na wczytanie pliku PNM	Felëjë pamiãcë na òdczëtanié lopkù PNM
3445	Przenieś okno:	Przeniesë òkno:
3446	Jeśli wybierzesz Tryb administratora, zostaniesz poproszony o hasło administratora. Umożliwi to wprowadzania zmian, które wymagają praw administratora.	Jeżlë wëbierzesz Trib sprôwnika, pòkôże sã pëtanié ò sprôwniczą parolã. Umożlëwi to wprowadzanié zmianów, jaczé brëkùją prawów sprôwnika.
3447	Wiersz:	Ùstawi w rézeQShortcut
3448	Cienie dekoracji	Dokòracëjë ceniów
3449	Jest niestotny	Nie je wôżné
3450	Koniec opcji	Kùńc òptacëjów
3451	Nie znaleziono powtórzonych czcionek.	Nie sã nalazłé duplikòwóné fòntë.
3452	Odwróć widok w lewo	Òbrócë pòzdrzatk procëmnie do rësznotë wskôzów zédżera
3453	Wykryto nowe urządzenie. Co chcesz zrobić?	Òstało wëkrëté nowé ùrządzenié. Co chcesz robic?
3454	Włącz obsługę maksymalizacji okna na wielu monitorach	Włączë òbsłëgã maksymalizowaniégò òknów wielu mònitorach
3455	Następne zadanie wymaga tuszu specjalnego	Pòstãpnô robòta wëmôgô specjalny tintë
3456	Akceptuj	Akceptujë
3457	Otwórz w podanym miejscu pliku zakładek	Òtemkni na dóny pizyceji w lopkù załóżków
3458	Zamknij panel nawigacyjny	Zamkni nawigacjową listew
3459	& Cofnij: twórz katalog	Ni mòże ùsôdzëc kataloga
3460	Justowanie@ title: menu	Justowanié@ title: menu
3461	Żądanie usunięcia nie powiodło się.	Żądanié rëmniãcô nie darzëło sã.
3462	Dostęp do programów zminimalizowanych na tacce systemowejName	Dôwô mòżnotã taceniô ë minimalizowaniô aplikacëjów do systemòwégò zabiérnikaName
3463	Eksportuj...	Ekspòrtëjë...
3464	Pozostało zadań:	Zaòstałô wielëna robòtów:
3465	Przeglądarka czcionekName	Przezérnik fòntówName
3466	Wklej zaznaczenie	Wlepi wëbiérk
3467	360×360dpi, arkusz tkaniny	360×360dpi, bòga sztofù
3468	Drachma greckaName	Greckô DrachmaName
3469	Nowy wiersz	Nowô réżka
3470	Podgląd raportu@ title	Pòdzérk rapòrtu@ title
3471	Inicjalizuj iPoda	Jinicjalizëjë iPoda
3472	Numer identyfikacyjny maszyny	Identifikacjowi numer maszinë
3473	Nie można zmienić praw do zasobu	Ni mòże zmienic prawa do dostónka
3474	(4) UrządzeniaName	(4) ÙrządzeniaName
3475	Udostępnił swoją czcionkę 'Steve' na licencji GPL, aby można było jej użyć	Ùprzëstãpnił swój fònt 'Steve', abò mòżnô bëło gò brëkòwac
3476	Szerokość w pikselach	Żądónô szérzô w pikselach
3477	Obramowanie strony	Rama starnë
3478	Zmień na pulpit 15Comment	Skòknie na pùlt 15Comment
3479	Wywołanie D- Bus startText nie powiodło się.	Wëwòłanié D- Bus say () nie darzëło sã.
3480	Antarktyda/ Biegun_ południowy	Antarktida/ Pôłniowi_ Dżib
3481	Opis przeglądarki użytkownika (Opera 9. 62 w bieżącym systemie) Name	Òpisënk programë brëkòwnika (Opera 9. 62) Name
3482	Moduł %s do wczytywania obrazów nie eksportuje właściwego interfejsu. Być może pochodzi on z innej wersji biblioteki gdk-pixbuf.	Mòdul %s do wladowania òbrôzów nie ekspòrtëjë gwësnegò interfejsu; czë mòże bëc, że je òn z jinëj wersëji GTK+?
3483	Dostępny zestaw kolorów	Przëstãpny zestôwk farwów
3484	Skrzynka pocztowa 15 (twarzą w dół)	Pòcztowô kastka 15 (drëkã w dół)
3485	Gulden holenderskiName	Hòlandzczi GùldenName
3486	Liczba pulpitów:	Wielëna pùltów:
3487	"Otwarcie ""%s"" do zapisania się nie powiodło: %s"	Nie mòże òtemknąc '%s' do zapisënkù: %s
3488	Pokaż wszystkie zakładkiName	Wëskrzëni wszëtczé twòjé załóżcziName
3489	Uporządkuj według	Régùjë wedle
3490	Opublikowano nowy element interfejsuComment	Sztél zblëżający bedënk do sécëComment
3491	Przenośny podajnik papieru	Przenosny pòdajnik papióru
3492	Uaktywnij tę opcję, jeśli klient pocztowy ma być uruchamiany w terminalu (np. Konsola).	Aktiwùjë nã òptacëjã, jeżlë klient pòcztë ma bëc zrëszany w terminalu (np. Kònsola).
3493	Zamontuj urządzenie	Zamòntëjë ùrządzenié
3494	W czasie wczytywanie dokumentu ustawia zakładki w liniach pasujących do podanego wzorcaName	Wstôwiô, òbczas wczëtëwaniô, załóżczi w pasownëch réżkach do dónegò mùstraName
3495	Aktywność w monitorowanej sesjiComment	Aktiwnota w mònitorowóny sesëjiComment
3496	Nastąpiło rozpoczęcie indeksowania plików lokalnych w celu przyspieszenia wyszukiwania. Name	Indeksowanié môlowich lopków dlô chùtczi szëkbë òstôł zrëszony. Name
3497	Przesuń w & dół	Przeniesë w & dół
3498	Odtwarza poprzednią sesję, o ile jest dostępna	Doprowadzë wczasniészą sesëjã nazôd, eżle ta je przistãpnô
3499	Nie można przyłączyć	Ni mòże przëłączëc
3500	Nowy katalog...	Nowi katalog...
3501	8 schowkowa skrzynka pocztowa	8 tacnikòwô pòcztowô kastka
3502	Ustawienia globalne	Globalny nastôw
3503	Zapisz wyjście...	Zapiszë wińdzenié...
3504	Podajnik o dużej pojemności	Pòdajnik o wiôldżé zabiérnoce
3505	Kodowanie ESC/ P2	Kòdowanié ESC/ P2
3506	Profil zarządzania energią	Profil mòcë
3507	Pokaż FPSComment	Wëskrzëni FPSComment
3508	Wystąpił błąd sieci. Żądanie nie zostało zrealizowane.	Pòkôza sã fela sécë. Żądanié nie òstało zrealizowóne.
3509	Otwieraj zewnętrzne adresy URL w kartach otwartego okna Konquerora	Òtmrkôj bùtnowé adresë URL w kôrtach òtemkłégò òkna Konquerora
3510	Maksymalizuj okno	Maksymalizëjë òkno
3511	Papier	QShortcut
3512	Użyj kodowania wybranego języka	Brëkùjë kòdowaniô wëbrónegò jãzëka
3513	Komentarz:% 1Bitrate: 160 kbits/ s	Dopòwiesc:% 1Bitrate: 160 kbits/ s
3514	Podświetlanie składni ILERPG	Pòdskrzënianié dlô ILERPG
3515	Gamma (składnik czerwony)	Gamma (czerwòny kòmpònent)
3516	# Jeśli 'mimetype' jest wyszczególniony, będzie to użyte do określenia # komponentu, jakiego powinien użyć Konqueror. Na przykład, ustaw # text/ html dla strony html, aby pokazywała się szybciej	# eżle 'mimetype' je wëmieniony, mdze to brëkòwóné do òtaksowania # kòmpònentu jaczi mùszi bëkòwac Konqueror. Na przëmiôr ùstawi # text/ html dlô starnë html, abë chùtczi sã wëskrzëniwałô
3517	Nie można zweryfikować certyfikatu z przyczyn wewnętrznychSSL error	Z bënowich przëczënów nié mòże zwerifikòwac certifikatuSSL error
3518	Brak odpowiedzi od zadania.	Felënk òdpòwiescë.
3519	Podłączono zasilanie zewnętrzneComment	Wëtkniãti zasëlôczComment
3520	operacja już trwaSocket error code NetFailure	òperacëjô je ju robionôSocket error code NetFailure
3521	Pomyślnie zainstalowano% 1	Ùdało winstalowóné:% 1
3522	Dodaj komentarz	Dodôj dopòwiesc
3523	Ten prosty asystent konfiguracji ustawia uprawnienia potrzebne, żeby K3b mógł nagrywać płyty CD i DVD. Nie są brane pod uwagę takie rzeczy jak devfs czy resmgr. W większości przypadków nie stanowi to problemu, jednak w niektórych systemach uprawnienia mogą zostać zmienione przy następnym zalogowaniu lub ponownym uruchomieniu komputera. W takim wypadku najlepiej jest zapoznać się z dokumentacją dystrybucji systemu. Uwaga: Chociaż K3b:: Setup nie powinien zepsuć konfiguracji Twojego systemu, nie ma na to żadnej gwarancji.	Ten prosti kònfigùracjowi asystenta nastôwiô nóterné ùdowierzenia, tak bë prorama K3b bëła w sztãdze wëpôlac platë CD ë DVD. Nie są ùwzglãdnióné taczé rzeczë jakno devfs czë resmgr. W wikszoscë przëtrôfków nie je to problemą, równak w niejednëch systemach ùdowierzenia mògą òstac zjinaczoné przë nôslédnym wlogòwaniu abò znowionym zrëszeniu kòmpùtra. W taczim przëtrôfkù nôlepi je sã zapòznac z dokùmentacëją distribùcëji systemë. Nôwôżniszëm dzejaniém K3bSetup 2 je przëznanie K3b prawa zôpisu do nëków CD ë DVD. Bôczënk: Chòc K3bSetup nie mô pòpsëc kònfigùracëji Twòji systemë, to nie je to równak gwarantowóné.
3524	Wyłącz komputer bez potwierdzenia	Zatrzëmôj bez pòcwierwdzeniô
3525	Wygląd@ title: tab	@ title: tab
3526	Indeksowanie pliku	Indeksownik lopków
3527	Operacja 'lub' wymaga podania dwóch zmiennych	'Abò' mùszi miec dwi zmieniwne
3528	AfrykanerskiName	AfrikanerscziName
3529	Błąd podczas tworzenia nowej gry!	Fela bùdowaniô nowi grë!
3530	Nie można utworzyć katalogu '% 1'.	Nie mòże ùsôdzëc kataloga '% 1'.
3531	Błąd urządzenia	Fela ùrządzenia
3532	Ustaw kodowanie dla otwieranego pliku	Ùstawiô kòdowanié dlô òtmekanégò lopka
3533	Pokazanie każdego wirtualnego pulpitu na innej ścianie sześcianuName	Wëskrzëniô wirtualny pùlt na scanie szescanuName
3534	300 dpi, próbny, tusze kolorowe + czarny	300 dpi, próbny, farwné tintë + czôrny
3535	Skróty adresowe (URI):	Skrodzënë URI:
3536	Położenie panelu	Pòłożenié panela
3537	Jakość, rodzaj tuszu, typ danych	Kwalitet, ôrt tintë, ôrt danych
3538	^Wypróbuj Xubuntu bez instalowania	^Wëpróbùjë Xubuntu bez instalacëji
3539	Użytkownika	Brëkòwnika
3540	Znaki opisu ideograficznego	Céchë jideògrafikòwégò òpisënka
3541	Proszę o podanie danych uwierzytelniających dla% 1	Proszã ò pòdanié pòdôwków do ùdowierzëniô dlô% 1
3542	"Tutaj możesz ustawić zestaw cyfr używany do wyświetlania liczb. Jeżeli wybrano zestaw inny niż cyfry arabskie, będzie on stosowany tylko w programach w danym języku i w polach tekstowych wyświetlających liczby. Uwaga: zestaw cyfr do wyświetlania kwot należy zdefiniować oddzielnie karcie ""Waluta."""	"Tuwò mòżesz ùstawic cyfrë brëkòwóné do wëskrzëniwaniô lëczbów. Jeżlë ùżëté są jine cyfrë nigle arabsczé, pòkażą sã òne jeżlë ùżëté bãdą w aplikacëji abò w dzélu tekstu dze na lëczba mô sã wëskrzënionô. Bôczë, że ùstawë cyfrów dlô dtkòwëch wôrtnotów je ùstôwióny na kôrce ""Dëtczi."""
3543	Symbole i znaki interpunkcyjne CJK	Céchë ë interpùnkcjowi céchë CJK
3544	Rozszerzony łaciński C	Dodôwk łacëzniany C
3545	Niespodziewany '	Nieżdóny '
3546	Jeśli ta opcja jest włączona, Konqueror pozwoli na zmianę tytułu zakładki i wybór foldera, w którym ma się ona znaleźć.	Jeżlë na òptacëjô je włączonô, Konqueror zewòlë na zjinakã titla załóżczi ë wëbiérk kataloga, w chtërnym mô sã òna nalezc.
3547	Uruchamianie ulubionych programówName	Zrëszanié twòjich ùlëbionëch programówName
3548	Wyłącz klejące klawisze, jeśli dwa klawisze są wciśnięte jednocześnie	Włączë klawisze przëlepieniô, eżlë dwa klawisze są równoczasno wcësniãté
3549	Czy wiesz, że...?	Wiész të, że...?
3550	Polecenie% 1 potrzebuje podania odpowiedzi jako argumentów.	Pòlét% 1 akceptëje le òdpòwiescë jakno swòjé parametrë.
3551	Dodano osierocone utwory@ info	Title dodóné@ info
3552	Oczekiwano katalogu	Żdóny katalog
3553	Przesuń kamienie	Przesënié kachle
3554	Drukarka - wewnętrzna	Drëkôrz - bënowi
3555	większy niż	wicy jak
3556	Blokowanie ekranu KDE	Blokada ekranu KDE
3557	Nazwa zadania	Miono robòtë
3558	Obciążenie przez użytkownika@ item sensor description	Òbladowanié przez brëkòwnika@ item sensor description
3559	Wyświetlacz & cyfrowy	& Cyfrowy pòdzérk
3560	Zaznacz, jeśli chcesz otrzymywać informacje od demona ksysguard działającego na komputerze, z którym chcesz się połączyć.	Zaznaczë, jeżlë chcesz dostôwac wëdowiédzã òd demona ksysguard dzejającégò na kòmpùtrze, z jaczim chcesz sã pòłączëc.
3561	Hasło ma więcej niż 8 znaków. W niektórych systemach może to spowodować problemy. Możesz skrócić hasło do 8 znaków albo zostawić je tak, jak jest.	Twòjô parola mô wicy jakno 8 céchów. W niechtërnych systemach mòże to pòwòdowac problëmë. Mòżesz skrodzëc parolã do 8 céchów abò òstawic ją tak jakno je.
3562	Początek wiersza	Zôczątk réżczi
3563	Wyszukiwanie pełnotekstowe używa silnika ht: // dig. Można go pobrać z	Fùltekstowô szëkba brëkùjë mòtóra ht: // dig. Mòżesz gò dobëc z
3564	Tryby:% 1	Tribë:% 1
3565	Limit czasu:	Czas zlecôł
3566	Zdjęcia	Òbrazczi
3567	Nadruki na koszulki	Nadrëczi na kòszulczi
3568	Wtyczka polecenia powłokiComment	Wtëkôcz pòlétu pòwłocziComment
3569	Serwery, skrypty stron	Serwery, skriptë starnów
3570	Tajemnica firmy	Krajemnota firmë
3571	Wczytywanie...	Ladowanié...
3572	Powiel bieżącą kartę	& Duplikùjë nã kôrtã
3573	Dostawca geolokalizacji PlazmyName	Plazma geògrafny lokalizacëjiName
3574	Nowy menedżer okien nie chciał się uruchomić. Uruchomiony menedżer okien został zastąpiony domyślnym menedżerem okien KDE - KWin.	Nowi menadżera òczén ni zrëszëł sã. Robiący menadżera òczén je zastãpiony domëslnym menadżerã òczéń KDE KWin.
3575	Serwer [ustawiony przez]	Serwer [ùstanowióny przez]
3576	& Zmień...	& Zmieni...
3577	Tutaj możesz zmienić wielkość uchwytu zmiany rozmiaru.	Tuwò mòżesz zmienic wielgòsc chwëtu zmianë miarë
3578	Zatrzymaj demona (zapomina wszystkie hasła)	Zatrzëmôj ùsłëżnotã (zabëjë wszëtczé parole)
3579	Uaktualnij	Aktualizëjë
3580	Używane w ikonach pulpitu. Font role	Brëkòwóné w ikònach pùltu. Font role
3581	Nepomuk - zmiany w plikachComment	NepomukFileWatchComment
3582	Definicja angielska:	Definicëjô pò anielskù:
3583	Przerwane.	Òprzestónié.
3584	Rozpraszanie PPI (dithering)	Roznëkòwanié PPI (dithering)
3585	Styl interfejsu:	Sztél widżetu:
3586	Pokazuj wyskakujące okienka tylko wtedy, gdy zostaną wywołane przez kliknięcie myszą lub wciśnięcie klawisza.	Pòkazëjë wëskakùjącé òkna blós jak òstaną òne wëwòłóné przez klëkniãcé mëszą abò wcësniãcém klawiszë.
3587	Naciśnij, w dół, w prawo, puść. Name	Wcësni, w górã, w prawò, pùszczë. Name
3588	Pamięć & tłumaczeń	Pamiãc dolmaczënka
3589	Więcej opcji podglądu...	Wicy pòtacëji pòdzérkù...
3590	Błąd składni: nieznane polecenie '% 1'	Fela synteksë: Nieznóny pòlét '% 1'
3591	Wykryto zapętlone dowiązanie	Wëkrëto zakrãconé zlënkòwanié
3592	Co najmniej jedno z podanych ustawień pośrednika jest nieprawidłowe. Błędne wartości podświetlono.	Co le mało jedno z pòdónëch nastôwów pòstrzédnika je lëchi. Lëché wôrtnotë òstałë pòdskrzënioné.
3593	Pokazuje przebieg Twojej ostatniej gry.	Pòkażë pòwtórzenié twòji slédny grë.
3594	Uruchamianie programówComment	Zrëszanié programówComment
3595	Spacer przez karty okna	Przezérôj kôrtë òknów
3596	Strona WWW	Òbôczë domôcą starnã...
3597	Data i czasComment	Datum ë czasGenericName
3598	Normalna@ item: inmenu	Normalnô@ item: inmenu
3599	Plik lub katalog o nazwie% 1 już istnieje.	Lopk abò katalog ò mionie% 1 ju je.
3600	Dane testoweComment	Testowé pòdôwcziComment
3601	Podczas wczytywania pliku '% 1' wystąpił błąd	Przë czëtaniô lopka '% 1' pòkôza sã fela
3602	Zmień listę odtwarzania	Zmieni lëstã graniô
3603	Brak domyślnej drukarki. Uruchom z opcją -- all, aby zobaczyć wszystkie drukarki.	Nié mô domëslnëgò drëkëra. Dodôj òptacëjã -- all bë òbaczëc wszëtczé drëkërë.
3604	Mogłeś podać błędną lokalizację.	Të móg/ mògła pòdac lëchą lokalizacëjã.
3605	& Prawo	& Prawò
3606	Lista prawdopodobnych duplikatów błędu@ title	Lësta prôwdopòdóbnych duplikatów felë@ title
3607	Brak pamięci na utworzenie ramki w pliku GIF	Felëjë pamiãcë na zrobienié ramë w lopkù GIF
3608	Dodatkowa dolna kaseta	Dodôwnô dolnô kaseta
3609	Motyw emotikon XMPPComment	Témë emòtikównków XMPPComment
3610	Skrót do przełączania układów obsługiwany przez KDE. Skróty złożone z samych modyfikatorów nie są obsługiwane. Przełączanie może nie działać w niektórych sytuacjach (aktywne okienko z powiadomieniem, wygaszacz ekranu).	To je skrodzëna dlô przełączaniô ùstôwów w KDE. Nie wspierô blós zmieniwnëch skrodzënów a téż mòże nie robic w niechtërnëch lëżnoscach (np. jeżlë aktiwny je popup abò w czasu dzejanégò wëgaszacza ekrana).
3611	1440×720dpi, papier do drukarek atramentowych, odcienie szarości	1440×720dpi, papiór do tińtowëch drëkôrzów, cenie szaroscë
3612	Planista I/ O	Planowanié I/ O
3613	Wczytaj do późniejszego użycia	Wczëtôj do pózdnyszegò brëkòwaniô
3614	Interpunkcja, cudzysłów otwierający	Interpùnkcëjô, òtmëkajacy naprowôdnik
3615	Wynik:	Wëszłosc:
3616	Nie można pobrać wartości kalibracyjnych dla urządzenia joysticka% 1:% 2	Nie mòże wëdowstac kalibracëjnëch wôrtnotów dlô ùrządzenia joysticka% 1:% 2
3617	Mamma - matka wszystkich przeszukiwarekQuery	Mamma - mëmka wszëstczich szëkôrzówQuery
3618	Pokazywany tekst:	Wëskrzëni tekst:
3619	Nie wygenerowano informacji o awarii, ponieważ nie były one potrzebne. @ info	Na wëdowiédzô ò załómaniu ni òsta wëgenerowónô bò nie je ji nót. @ info
3620	Dopasowanie:	Pòłożenié
3621	Otwórz & cel	Òtemkni cél
3622	& Nowy katalog...	Ùsôdzë & katalog...
3623	Tworzy nowy obrazimage-action	image-action
3624	Uchwyt sterownikaName	Czérownik HandleName
